Fecha,Nombre del Comercio,Direccion del Comercio,Vecindario del Comercio,Area del Comercio,Codigo Postal del Comercio,Categoria del Comercio,Telefono del Comercio,Web del Comercio,Moneda,Cantidad Total,Descripcion del Producto,SKU del Producto,UoM del Producto,Categoria del Producto,Precio Unitario del Producto
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Morton Kosher SaltSf,N/A,N/A,Meals & Entertainment,4.39
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Badia Ground Black PepperSf,N/A,N/A,Meals & Entertainment,3.99
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Sanpel Blood Orange CanTsf,N/A,N/A,Meals & Entertainment,6.79
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Markdown,N/A,N/A,Meals & Entertainment,-0.2
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Sanpel Blood Orange CanTsf,N/A,N/A,Meals & Entertainment,6.79
2024-04-13 13:36:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,44.93,Mobil  Ep W  Qt  ,15005,N/A,Repairs & Maintenance,41.99
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Ragu Simply Chunky Gard Veg,N/A,N/A,Meals & Entertainment,3.59
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Iberia Black Beans RteSf,N/A,N/A,Meals & Entertainment,1.49
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Magnolia Condensed MilkSp,N/A,N/A,Meals & Entertainment,2.79
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Limes Lb,N/A,N/A,Meals & Entertainment,5.49
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Bucanero Malta BotTf,N/A,N/A,Meals & Entertainment,3.0
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Bucanero Malta BotTf,N/A,N/A,Meals & Entertainment,3.0
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Yellowonion BagFw,N/A,each,Meals & Entertainment,1.79
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Platano MaduroSfw,N/A,N/A,Meals & Entertainment,3.16
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Tare  Lb,N/A,lb,Meals & Entertainment,0.91
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Red PeppersFw,N/A,N/A,Meals & Entertainment,0.91
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Tare  Lb ,N/A,N/A,Meals & Entertainment,-1.0
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Tomato On The VineSfw,N/A,N/A,Meals & Entertainment,5.23
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Costa Limo Cookies,N/A,N/A,Meals & Entertainment,-1.0
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Tropicana Orange Pineapple,N/A,N/A,Meals & Entertainment,-1.0
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,MarkdownSf,N/A,N/A,Meals & Entertainment,-4.59
2024-04-26 15:52:51,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,42.3,Sedanos  Lf CoconutSf,N/A,N/A,Meals & Entertainment,-1.0
2024-04-13 14:34:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,5.87,Heavy Duty Xl Funnel  ,05034MI,N/A,Repairs & Maintenance,5.49
2024-04-26 08:43:29,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,64.08,Int D Hazelnut Crmer,N/A,N/A,Meals & Entertainment,3.99
2024-04-26 08:43:29,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,64.08,Crest Bsp Wht Ts,N/A,N/A,Meals & Entertainment,2.89
2024-04-26 08:43:29,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,64.08,Sedanos Plantain Chips SaltSf,N/A,N/A,Meals & Entertainment,6.99
2024-04-13 13:03:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,18.87,Shop Towel  Cn Scott ,75130,N/A,Repairs & Maintenance,4.99
2024-04-13 13:03:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,18.87, Day Replacement If Defective,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-13 13:03:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,18.87,Dr Uphstery Tool  Ea P ,W80645,N/A,Repairs & Maintenance,10.99
2024-04-13 13:03:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,18.87,Coke Classic  Oz Ccol ,04403,N/A,Repairs & Maintenance,2.89
2024-04-14 10:38:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advancecareplus.com,USD,48.43,Mini Bulblong Life  P ,2357LLBP2,N/A,Repairs & Maintenance,7.99
2024-04-14 10:38:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advancecareplus.com,USD,48.43, Yr Replacement If Defective,N/A,N/A,Repairs & Maintenance,7.99
